"county","area"
"ADAMS",855
"ALEXANDER",236
"BOND",380
"BOONE",280
"BROWN",305
"BUREAU",869
"CALHOUN",253
"CARROLL",445
"CASS",375
"CHAMPAIGN",996
"CHRISTIAN",709
"CLARK",501
"CLAY",468
"CLINTON",474
"COLES",508
"COOK",944
"CRAWFORD",443
"CUMBERLAND",345
"DEKALB",631
"DEWITT",397
"DOUGLAS",416
"DUPAGE",327
"EDGAR",623
"EDWARDS",222
"EFFINGHAM",478
"FAYETTE",716
"FORD",485
"FRANKLIN",408
"FULTON",865
"GALLATIN",322
"GREENE",543
"GRUNDY",418
"HAMILTON",434
"HANCOCK",793
"HARDIN",177
"HENDERSON",378
"HENRY",822
"IROQUOIS",1117
"JACKSON",584
"JASPER",494
"JEFFERSON",571
"JERSEY",369
"JO DAVIESS",600
"JOHNSON",343
"KANE",519
"KANKAKEE",676
"KENDALL",320
"KNOX",716
"LAKE",443
"LASALLE",1135
"LAWRENCE",372
"LEE",724
"LIVINGSTON",1043
"LOGAN",618
"MACON",580
"MACOUPIN",862
"MADISON",716
"MARION",572
"MARSHALL",386
"MASON",539
"MASSAC",237
"MCDONOUGH",589
"MCHENRY",603
"MCLEAN",1183
"MENARD",314
"MERCER",561
"MONROE",385
"MONTGOMERY",703
"MORGAN",568
"MOULTRIE",335
"OGLE",758
"PEORIA",618
"PERRY",441
"PIATT",439
"PIKE",831
"POPE",368
"PULASKI",199
"PUTNAM",160
"RANDOLPH",575
"RICHLAND",360
"ROCK ISLAND",427
"SALINE",379
"SANGAMON",868
"SCHUYLER",437
"SCOTT",250
"SHELBY",758
"ST. CLAIR",657
"STARK",288
"STEPHENSON",564
"TAZEWELL",646
"UNION",413
"VERMILION",898
"WABASH",223
"WARREN",542
"WASHINGTON",562
"WAYNE",713
"WHITE",494
"WHITESIDE",684
"WILL",835
"WILLIAMSON",420
"WINNEBAGO",513
"WOODFORD",527
